practice_name,canonical_code,postcode,street_address,telephone,email,website_url,nhs_profile_url,latitude,longitude,accepting_new_patients,country,nation,source_type,ods_primary_role_id,ods_primary_role_description,ods_active_roles,ods_org_link,last_change_date,registered_patient_count,registered_patient_count_source,registered_patient_count_source_url,registered_patient_count_snapshot,patient_survey_name,patient_survey_status,patient_survey_level,patient_survey_url,patient_survey_note,google_maps_query
LLANDAFF FIELDS MEDICAL PRACTICE,W97005,CF11 9SH,"CANTON COURT, WELLINGTON STREET, CARDIFF",0844 4778710,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97005,2025-12-02,3294,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",LLANDAFF FIELDS MEDICAL PRACTICE CF11 9SH
TAFF RIVERSIDE PRACTICE,W97016,CF11 9SH,"WELLINGTON STREET, CARDIFF",029 20803200,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97016,2023-08-22,3397,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",TAFF RIVERSIDE PRACTICE CF11 9SH
BISHOPS ROAD MEDICAL CENTRE,W97028,CF14 1LT,"1 BISHOPS ROAD, WHITCHURCH, CARDIFF",029 20522455,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97028,2023-08-22,8290,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",BISHOPS ROAD MEDICAL CENTRE CF14 1LT
LLANDAFF NORTH MEDICAL CE,W97286,CF14 2FD,"99 STATION ROAD, LLANDAFF NORTH, CARDIFF",029 20567822,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97286,2025-08-20,6389,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",LLANDAFF NORTH MEDICAL CE CF14 2FD
WHITCHURCH ROAD SURGERY,W97025,CF14 3NY,"SACHVILLE AVENUE, CARDIFF",02921 851190,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97025,2023-08-22,8152,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",WHITCHURCH ROAD SURGERY CF14 3NY
CRWYS MEDICAL CENTRE,W97041,CF14 3QX,"THE CRWYS SURGERY, WEDAL ROAD, CARDIFF",029 20524140,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97041,2023-08-22,8760,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",CRWYS MEDICAL CENTRE CF14 3QX
NORTH ROAD MEDICAL PRACTICE,W97020,CF14 3XQ,"182 NORTH ROAD, CARDIFF",029 20619188,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97020,2023-08-22,10244,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",NORTH ROAD MEDICAL PRACTICE CF14 3XQ
BIRCHGROVE SURGERY,W97021,CF14 4QJ,"CAERPHILLY ROAD, CARDIFF",029 20522344,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97021,2023-08-22,10797,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",BIRCHGROVE SURGERY CF14 4QJ
ST. ISAN ROAD SURGERY,W97053,CF14 4UU,"46 ST. ISAN ROAD, HEATH CARDIFF, CARDIFF",029 20612333,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97053,2023-08-22,7821,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",ST. ISAN ROAD SURGERY CF14 4UU
LLANISHEN COURT SURGERY,W97013,CF14 5YU,"LLANISHEN COURT, LLANISHEN, CARDIFF",029 20757025,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97013,2023-08-22,9920,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",LLANISHEN COURT SURGERY CF14 5YU
WHITCHURCH VILLAGE PRACTICE,W97294,CF14 7BP,"WHITCHURCH MEDICAL CENTRE, PARK ROAD, CARDIFF",029 20629601,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97294,2026-02-26,10788,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",WHITCHURCH VILLAGE PRACTICE CF14 7BP
NORTH CARDIFF MEDICAL CENTRE,W97015,CF14 9BB,"EXCALIBUR DRIVE, THORNHILL, CARDIFF",029 20764444,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97015,2023-08-22,14811,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",NORTH CARDIFF MEDICAL CENTRE CF14 9BB
THE MEDICAL CENTRE,W95060,CF15 7YG,"TAFFS WELL MEDICAL CENTRE, CARDIFF ROAD, CARDIFF",029 20820320,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95060,2023-08-22,7078,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",THE MEDICAL CENTRE CF15 7YG
RADYR MEDICAL CENTRE,W97024,CF15 8EW,"RECTORY CLOSE, RADYR, CARDIFF",029 20842767,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97024,2023-08-22,11135,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",RADYR MEDICAL CENTRE CF15 8EW
ROATH HOUSE SURGERY,W97034,CF23 5RH,"100 PEN-Y-LAN ROAD, PENYLAN, CARDIFF",029 20461100,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97034,2023-08-22,15080,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",ROATH HOUSE SURGERY CF23 5RH
THE PENYLAN SURGERY,W97033,CF23 5SY,"74 PEN-Y-LAN ROAD, CARDIFF",029 20498181,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97033,2023-08-22,9015,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",THE PENYLAN SURGERY CF23 5SY
ST. DAVIDS MEDICAL CENTRE,W97065,CF23 7SD,"PONTPRENNAU MEDICAL CENTR, PENTWYN DRIVE, CARDIFF",02920 739999,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97065,2024-03-13,11884,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",ST. DAVIDS MEDICAL CENTRE CF23 7SD
CYNCOED MEDICAL PRACTICE,W97010,CF23 8SQ,"DARTINGTON DRIVE, PONTPRENNAU, CARDIFF",029 20545260,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97010,2023-08-22,11214,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",CYNCOED MEDICAL PRACTICE CF23 8SQ
LLANEDEYRN HEALTH CENTRE,W97008,CF23 9PF,"LLAN HEALTHCARE, WELLBEING HUB @ MAELFA, CARDIFF",029 20731671,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97008,2023-08-22,19762,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",LLANEDEYRN HEALTH CENTRE CF23 9PF
CARDIFF HEALTH ACCESS PRACTICE,W00100,CF24 0SZ,"CARDIFF AND VALE HIS, CARDIFF ROYAL INFIRMARY, CARDIFF",02921 835449,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W00100,2024-04-10,709,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",CARDIFF HEALTH ACCESS PRACTICE CF24 0SZ
CLIFTON SURGERY,W97060,CF24 1AG,"151-153 NEWPORT ROAD, ROATH, CARDIFF",029 20494539,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97060,2023-08-22,7481,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",CLIFTON SURGERY CF24 1AG
ROATHWELL SURGERY,W97002,CF24 1YT,"116 NEWPORT ROAD, CARDIFF",029 20494537,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97002,2023-08-22,5926,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",ROATHWELL SURGERY CF24 1YT
FOUR ELMS MEDICAL CENTRE,W97048,CF24 2HB,"STERLING CLOSE, FFORDD PENGAM PENGAM GREE, CARDIFF",02920 030540,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97048,2025-01-22,15981,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",FOUR ELMS MEDICAL CENTRE CF24 2HB
CLOUGHMORE MEDICAL CENTRE,W97007,CF24 2LU,"19 SOUTH PARK ROAD, SPLOTT, CARDIFF",029 20462848,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97007,2023-08-22,8198,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",CLOUGHMORE MEDICAL CENTRE CF24 2LU
MEDDYGFA ALBANY SURGERY,W97014,CF24 3JD,"219 - 221 CITY ROAD, ROATH, CARDIFF",029 20486561,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97014,2023-08-22,6488,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",MEDDYGFA ALBANY SURGERY CF24 3JD
THE CITY SURGERY,W97056,CF24 3WD,"187 CITY ROAD, ROATH, CARDIFF",029 20437980,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97056,2023-08-22,6226,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",THE CITY SURGERY CF24 3WD
CATHAYS SURGERY,W97009,CF24 4HU,"137 CATHAYS TERRACE, CARDIFF",029 20353020,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97009,2023-08-22,6750,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",CATHAYS SURGERY CF24 4HU
BRYNDERWEN SURGERY,W97006,CF3 0EF,"CRICKHOWELL ROAD, ST MELLONS, CARDIFF",029 20799921,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97006,2023-08-22,18819,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",BRYNDERWEN SURGERY CF3 0EF
WILLOWBROOK SURGERY,W97069,CF3 0SH,"5 STRATHY ROAD, ST. MELLONS, CARDIFF",029 20360555,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97069,2023-08-22,4747,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",WILLOWBROOK SURGERY CF3 0SH
RUMNEY PRIMARY CARE CENTRE,W97027,CF3 3LG,"BARMOUTH ROAD, RUMNEY, CARDIFF",029 20797751,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97027,2023-08-22,15951,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",RUMNEY PRIMARY CARE CENTRE CF3 3LG
OAK TREE SURGERY,W95010,CF31 2PQ,"WHITETHORN DRIVE, BRACKLA, BRIDGEND",01656 665353,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95010,2025-05-17,18035,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",OAK TREE SURGERY CF31 2PQ
RIVERSDALE HOUSE,W95035,CF31 3NL,"MERTHYRMAWR ROAD, BRIDGEND",01656 766866,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W95035,2025-05-17,19032,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",RIVERSDALE HOUSE CF31 3NL
