practice_name,canonical_code,postcode,street_address,telephone,email,website_url,nhs_profile_url,latitude,longitude,accepting_new_patients,country,nation,source_type,ods_primary_role_id,ods_primary_role_description,ods_active_roles,ods_org_link,last_change_date,registered_patient_count,registered_patient_count_source,registered_patient_count_source_url,registered_patient_count_snapshot,google_maps_query
NHS GRAMPIAN HEART FAILURE NURSING SERVICE,S30171,AB15 6RE,"NURSING DIRECTORATE, SUMMERFIELD HOUSE, ABERDEEN",01330 827230,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30171,2023-01-13,,,,,NHS GRAMPIAN HEART FAILURE NURSING SERVICE AB15 6RE
HOSPITAL AT HOME,S31013,AB15 6XS,"DAY HOSPITAL, WOODEND HOSPITAL, ABERDEEN",01224 556055,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S31013,2023-01-16,,,,,HOSPITAL AT HOME AB15 6XS
GREAT WESTERN MEDICAL PRACTICE,S30326,AB15 7YT,"GREAT WESTERN MED PRAC (ONE MEDICAL, SEAFIELD ROAD, ABERDEEN",,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30326,2024-05-22,9635,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,GREAT WESTERN MEDICAL PRACTICE AB15 7YT
KINGSWELLS MEDICAL PRACTICE,S31009,AB15 8TB,"KINGSWOOD DRIVE, KINGSWELLS, ABERDEEN",01224 745800,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S31009,2023-01-13,7406,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,KINGSWELLS MEDICAL PRACTICE AB15 8TB
CAMPHILL MEDICAL PRACTICE,S31348,AB15 9EP,"CAMPHILL MED PRACTICE (RIVER DEE), MURTLE ESTATE, ABERDEEN",,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S31348,2022-10-11,2356,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,CAMPHILL MEDICAL PRACTICE AB15 9EP
CULTS MEDICAL GROUP,S31230,AB15 9LQ,"SOUTH AVENUE, CULTS, ABERDEEN",03453 371140,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S31230,2022-08-24,9646,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,CULTS MEDICAL GROUP AB15 9LQ
NEW DYCE MEDICAL PRACTICE,S30280,AB21 7NQ,"DYCE HEALTH CENTRE, 23A ALTONREA GARDENS, ABERDEEN",,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30280,2022-10-10,9748,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,NEW DYCE MEDICAL PRACTICE AB21 7NQ
GILBERT ROAD MEDICAL GROUP,S31211,AB21 9AN,"39 GILBERT ROAD, BUCKSBURN, ABERDEEN",01224 712138,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S31211,2022-08-18,10071,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,GILBERT ROAD MEDICAL GROUP AB21 9AN
BUCKSBURN MEDICAL PRACTICE,S30256,AB21 9DG,"BUCKSBURN CLINIC, KEPPLEHILLS ROAD, ABERDEEN",01224 713927,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30256,2023-01-13,6489,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,BUCKSBURN MEDICAL PRACTICE AB21 9DG
SCOTSTOWN MEDICAL GROUP,S31206,AB22 8LD,"CAIRNFOLD ROAD, BRIDGE OF DON, ABERDEEN",03451 897070,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S31206,2022-08-24,12388,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,SCOTSTOWN MEDICAL GROUP AB22 8LD
DANESTONE MEDICAL PRACTICE,S31259,AB22 8ZP,"FAIRVIEW STREET, DANESTONE, ABERDEEN",01224 822866,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S31259,2022-08-18,7253,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,DANESTONE MEDICAL PRACTICE AB22 8ZP
WOODSIDE MEDICAL GROUP,S31141,AB24 2AS,"WOODSIDE FOUNTAIN HEALTH CENTRE, GREAT NORTHERN ROAD, ABERDEEN",01224 492828,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S31141,2022-08-18,13495,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,WOODSIDE MEDICAL GROUP AB24 2AS
KING'S MEDICAL PRACTICE,S30928,AB24 3NG,"12 SUNNYBANK ROAD, ABERDEEN",,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30928,2024-07-18,25492,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,KING'S MEDICAL PRACTICE AB24 3NG
FORENSIC MEDICAL SERVICES,S30148,AB24 3PT,"VIRTUAL PRACTICE ONLY, FORENSIC MEDICAL SERVICES, ABERDEEN",,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30148,2023-01-17,,,,,FORENSIC MEDICAL SERVICES AB24 3PT
LINKS MEDICAL PRACTICE,S30627,AB24 5AU,"PARK ROAD, ABERDEEN",03453 376340,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30627,2022-08-24,8162,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,LINKS MEDICAL PRACTICE AB24 5AU
MARYWELL HEALTHCARE CENTRE,S30561,AB24 5HT,"TIMMERMARKET BUILDING, 1 EAST NORTH STREET, ABERDEEN",01224 651132,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30561,2023-09-14,156,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,MARYWELL HEALTHCARE CENTRE AB24 5HT
OUT OF HOURS URGENT CARE (GMED),S30063,AB24 5HY,"YELLOW ZONE, ABERDEEN COMMUNITY HEALTH AND CARE, ABERDEEN",01224 558079,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30063,2022-11-18,,,,,OUT OF HOURS URGENT CARE (GMED) AB24 5HY
PODIATRY VIRTUAL PRACTICE,S31028,AB24 5HY,"HEALTH VILLAGE, 50 FREDERICK STREET, ABERDEEN",,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO72",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S31028,2023-05-16,,,,,PODIATRY VIRTUAL PRACTICE AB24 5HY
OLD MACHAR MEDICAL PRACTICE,S30504,AB24 5RS,"526 KING STREET, ABERDEEN",03453 370510,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30504,2024-05-20,18425,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,OLD MACHAR MEDICAL PRACTICE AB24 5RS
ELMBANK GROUP PRACTICE,S30203,AB25 2XE,"FORESTERHILL HEALTH CENTRE, ABERDEEN ROYAL INFIRMARY, ABERDEEN",03453 370710,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30203,2026-01-12,11756,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,ELMBANK GROUP PRACTICE AB25 2XE
WESTBURN MEDICAL GROUP,S30261,AB25 2XE,"FORESTERHILL HEALTH CENTRE, ABERDEEN ROYAL INFIRMARY, ABERDEEN",03450 995757,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30261,2022-08-24,6520,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,WESTBURN MEDICAL GROUP AB25 2XE
CALSAYSEAT MEDICAL GROUP,S30701,AB25 3TX,"44 POWIS PLACE, ABERDEEN",03453 376370,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30701,2022-08-24,11702,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,CALSAYSEAT MEDICAL GROUP AB25 3TX
LAURENCEKIRK MEDICAL GROUP,S32529,AB30 1GX,"LAURENCEKIRK HEALTHCARE CENTRE, BLACKIEMUIR AVE, LAURENCEKIRK",03453 373356,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S32529,2022-08-24,6154,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,LAURENCEKIRK MEDICAL GROUP AB30 1GX
TORPHINS MEDICAL PRACTICE,S32355,AB31 4JQ,"ST MARNAN ROAD, TORPHINS, BANCHORY",01339 882221,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S32355,2023-05-16,2134,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,TORPHINS MEDICAL PRACTICE AB31 4JQ
BANCHORY GROUP PRACTICE,S32406,AB31 5XS,"BELLFIELD, BANCHORY",03450 130750,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S32406,2022-08-24,13342,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,BANCHORY GROUP PRACTICE AB31 5XS
SKENE MEDICAL GROUP,S32209,AB32 6FG,"SKENE HEALTHCARE CENTRE, DISCOVERY DRIVE, WESTHILL",01224 849400,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S32209,2023-01-13,15335,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,SKENE MEDICAL GROUP AB32 6FG
ALFORD MEDICAL PRACTICE,S31899,AB33 8FL,"2 GORDON ROAD, ALFORD",01975 562253,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S31899,2024-05-22,5933,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,ALFORD MEDICAL PRACTICE AB33 8FL
ABOYNE HEALTH CENTRE,S32290,AB34 5HQ,"BELLWOOD ROAD, ABOYNE",03453 379955,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S32290,2022-08-24,6671,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,ABOYNE HEALTH CENTRE AB34 5HQ
BALLATER CLINIC,S32317,AB35 5NN,"13 PROVOST CRAIG ROAD, BALLATER",01339 755686,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S32317,2023-01-13,1882,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,BALLATER CLINIC AB35 5NN
