practice_name,canonical_code,postcode,street_address,latitude,longitude,telephone,website_url,accepting_new_patients,gtd_managed,gtd_site_name,gtd_site_url,nearby_to_gtd_anchors,nearby_anchor_count,source_search_centers,source_search_center_count,min_distance_to_gtd_anchor_miles,management_company_name,management_company_source,management_company_confidence,management_company_domain,management_company_group_size,google_review_score,google_review_count,google_review_source_note,google_review_source_url,google_maps_title,google_maps_match_score,google_recent_reviews_captured,google_review_text_file,trustpilot_score,trustpilot_review_count,trustpilot_source_url,nhs_profile_url
Hattersley Group Practice,P89013,SK14 3EH,"Hattersley Road East, Hattersley Ind Est, Hyde, Cheshire",53.4502,-2.02741,01613684161,,True,True,Hattersley Group Practice,https://www.gtdhealthcare.co.uk/hattersleygrouppractice,"Gordon Street Medical Centre, Hattersley Group Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",5,"Gordon Street Medical Centre, Hattersley Group Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",5,0.0,GTD Healthcare,gtd_anchor_match,high,gtdhealthcare.co.uk,14,2.1,72,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Hattersley+Group+Practice/@53.4501534,-2.0274576,17z/data=!4m8!3m7!1s0x487bca0541b2afd1:0xf9b1453753a6afbd!8m2!3d53.4501534!4d-2.0274576!9m1!1b1!16s%2Fg%2F1hc6zk0pb?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Hattersley Group Practice,1.0,10,google-review-texts/P89013-hattersley-group-practice.txt,,,,https://www.nhs.uk/services/gp-surgery/hattersley-group-practice/P89013
The Smithy Surgery,P89602,SK14 8LJ,"4 Market Street, Hollingworth, Hyde, Cheshire",53.4611,-1.99579,01457767123,https://www.gtdhealthcare.co.uk/thesmithysurgery,True,True,The Smithy Surgery,https://www.gtdhealthcare.co.uk/thesmithysurgery,"Hattersley Group Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",4,"Hattersley Group Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",4,0.0,GTD Healthcare,gtd_anchor_match,high,gtdhealthcare.co.uk,14,4.0,23,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/The+Smithy+Surgery/@53.4611026,-1.9958375,17z/data=!4m8!3m7!1s0x487bc97e19d543f9:0xddf31383b330bf7b!8m2!3d53.4611026!4d-1.9958375!9m1!1b1!16s%2Fg%2F1hc4tqlf2?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",The Smithy Surgery,1.0,10,google-review-texts/P89602-the-smithy-surgery.txt,,,,https://www.nhs.uk/services/gp-surgery/the-smithy-surgery/P89602
Millbrook Medical Practice,Y02936,SK15 3BJ,"Hollybank, Off Grove Road, Stalybridge, Cheshire",53.4923,-2.03427,01613042470,http://www.gtdhealthcare.co.uk/practice/millbrook-medical-practice,True,True,Millbrook Medical Practice,https://www.gtdhealthcare.co.uk/millbrookmedicalpractice,"Ashton GP Service, Gordon Street Medical Centre, Hattersley Group Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",6,"Ashton GP Service, Gordon Street Medical Centre, Hattersley Group Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",6,0.0,GTD Healthcare,gtd_anchor_match,high,gtdhealthcare.co.uk,14,2.7,39,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Millbrook+Medical+Practice/@53.4923116,-2.0343418,17z/data=!4m8!3m7!1s0x487bc9c8b0f4e34b:0xf55c0d88b78c7a9b!8m2!3d53.4923116!4d-2.0343418!9m1!1b1!16s%2Fg%2F11bzsxh62l?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Millbrook Medical Practice,1.0,10,google-review-texts/Y02936-millbrook-medical-practice.txt,,,,https://www.nhs.uk/services/gp-surgery/millbrook-medical-practice/Y02936
Dr Y Loomba & Partner,P82013001,BL1 1SQ,"Ashburner Street, Bolton, Lancashire",53.5771,-2.43205,01204462660,https://www.drloombabolton.nhs.uk,True,False,,,,0,Bolton central supplemental search,1,,,,,,,1.0,10,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Dr+Y+Loomba/@53.5768616,-2.4502215,15z/data=!3m1!5s0x487ba65354346ee9:0x432feea802a5ae60!4m12!1m2!2m1!1sDr+Y+Loomba+%26+Partner+BL1+1SQ!3m8!1s0x487ba654aab392c1:0xa1ddc97f785e306e!8m2!3d53.5768616!4d-2.4311671!9m1!1b1!15sCh1EciBZIExvb21iYSAmIFBhcnRuZXIgQkwxIDFTUZIBB3N1cmdlb27gAQA!16s%2Fg%2F1tj5242g?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Dr Y Loomba,0.75,10,google-review-texts/P82013001-dr-y-loomba-and-partner.txt,,,,https://www.nhs.uk/services/gp-surgery/dr-y-loomba-and-partner/P82013001
Octagon Medical Centre,P82012,BL1 1SQ,"Lever Chambers, 27 Ashburner Street, Bolton, Lancashire",53.5771,-2.43205,01204969343,https://www.boltondoctors.co.uk,True,False,,,,0,Bolton central supplemental search,1,,,,,,,4.0,308,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Octagon+Medical+Centre/@53.5769049,-2.4312247,17z/data=!3m1!5s0x487ba65354346ee9:0x432feea802a5ae60!4m8!3m7!1s0x487ba654aab392c1:0x1ab4f3fa7aef4fdc!8m2!3d53.5769049!4d-2.4312247!9m1!1b1!16s%2Fg%2F1w3464p5?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Octagon Medical Centre,1.0,10,google-review-texts/P82012-octagon-medical-centre.txt,,,,https://www.nhs.uk/services/gp-surgery/octagon-medical-centre/P82012
Dr Rizwan and Dr Awan,P82022,BL1 3RG,"Lindfield Drive, Bolton, Lancashire",53.5883,-2.43172,01204523642,,True,False,,,,0,Bolton central supplemental search,1,,,,,,,3.7,6,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Dr+Rizwan/@53.5883327,-2.4316914,17z/data=!3m1!5s0x487ba6fdf0a9d785:0xf9ade4b35354a3d1!4m8!3m7!1s0x487ba6fdf524a2d1:0x5cca2c3e9bf9e47a!8m2!3d53.5883327!4d-2.4316914!9m1!1b1!16s%2Fg%2F1yh9twwmr?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Dr Rizwan,0.667,6,google-review-texts/P82022-dr-rizwan-and-dr-awan.txt,,,,https://www.nhs.uk/services/gp-surgery/dr-rizwan-and-dr-awan/P82022
Halliwell Surgery 2,P82029,BL1 3RG,"Lindfield Drive, Halliwell, Bolton, Lancashire",53.5883,-2.43172,01204523813,https://www.halliwellsurgery.co.uk,True,False,,,,0,Bolton central supplemental search,1,,,,,,,3.1,37,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/The+Halliwell+Surgery/@53.5920449,-2.4407458,16z/data=!3m1!5s0x487ba6fdf0a9d785:0xf9ade4b35354a3d1!4m12!1m2!2m1!1sHalliwell+Surgery+2+BL1+3RG!3m8!1s0x487ba70273679677:0x5ef059096ebd9249!8m2!3d53.5883705!4d-2.4316982!9m1!1b1!15sChtIYWxsaXdlbGwgU3VyZ2VyeSAyIEJMMSAzUkdaHSIbaGFsbGl3ZWxsIHN1cmdlcnkgMiBibDEgM3JnkgEObWVkaWNhbF9jbGluaWOaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmFjRTV4WjFKQkVBReABAPoBBAgAEDw!16s%2Fg%2F1vr1w5kf?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",The Halliwell Surgery,1.0,10,google-review-texts/P82029-halliwell-surgery-2.txt,,,,https://www.nhs.uk/services/gp-surgery/halliwell-surgery-2/P82029
Halliwell Surgery 3,P82626,BL1 3RG,"Lindfield Drive, Halliwell, Bolton, Lancashire",53.5883,-2.43172,01204523716,https://www.halliwellsurgery.nhs.uk/,True,False,,,,0,Bolton central supplemental search,1,,,,,,,3.1,37,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/The+Halliwell+Surgery/@53.5883705,-2.4316982,17z/data=!3m1!5s0x487ba6fdf0a9d785:0xf9ade4b35354a3d1!4m8!3m7!1s0x487ba70273679677:0x5ef059096ebd9249!8m2!3d53.5883705!4d-2.4316982!9m1!1b1!16s%2Fg%2F1vr1w5kf?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",The Halliwell Surgery,1.0,10,google-review-texts/P82626-halliwell-surgery-3.txt,,,,https://www.nhs.uk/services/gp-surgery/halliwell-surgery-3/P82626
Wyresdale Road Surgery,P82634,BL1 4DN,"46 Wyresdale Road, Bolton, Lancashire",53.5816,-2.45218,01204494133,http://www.drkarimandjames-authe.nhs.uk,True,False,,,,0,Bolton central supplemental search,1,,,,,,,2.7,9,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Wyresdale+Road+Medical+Centre/@53.5821373,-2.4565804,17z/data=!4m12!1m2!2m1!1sWyresdale+Road+Surgery+BL1+4DN!3m8!1s0x487ba70a015ed715:0xf7f55703585e1ad5!8m2!3d53.5821373!4d-2.4518168!9m1!1b1!15sCh5XeXJlc2RhbGUgUm9hZCBTdXJnZXJ5IEJMMSA0RE5aICIed3lyZXNkYWxlIHJvYWQgc3VyZ2VyeSBibDEgNGRukgEGZG9jdG9ymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEzZGtremRsZDNFQUXgAQD6AQQIThA_!16s%2Fg%2F11j4swt43g?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Wyresdale Road Medical Centre,1.0,9,google-review-texts/P82634-wyresdale-road-surgery.txt,,,,https://www.nhs.uk/services/gp-surgery/wyresdale-road-surgery/P82634
Dalefield Surgery,P82010,BL1 4JP,"Avondale Health Centre, Avondale Street, Bolton, Lancashire",53.5882,-2.4518,01204357311,http://www.dalefieldsurgery.nhs.uk,True,False,,,,0,Bolton central supplemental search,1,,,,,,,2.0,10,Just Visits exact listing match,https://justvisits.co.uk/listing/dalefield-surgery-bolton,,,,,,,,https://www.nhs.uk/services/gp-surgery/dalefield-surgery/P82010
Bolton General Practice,Y02319,BL1 4TH,"2-4 Moor Lane, Bolton, Lancashire",53.5782,-2.43495,01204521000,https://www.ssphealth.com,True,False,,,,0,Bolton central supplemental search,1,,SSP Health,nhs_website_domain_known_group,high,ssphealth.com,10,1.8,10,Just Visits exact listing match,https://justvisits.co.uk/listing/bolton-general-practice-bolton,,,,,,,,https://www.nhs.uk/services/gp-surgery/bolton-general-practice/Y02319
Heaton Medical Centre,P82031,BL1 5PU,"2 Lucy Street, Heaton, Bolton",53.588,-2.46831,01204843677,https://www.boltongp.co.uk/,True,False,,,,0,Bolton central supplemental search,1,,,,,,,3.0,10,Just Visits exact listing match,https://justvisits.co.uk/listing/heaton-medical-centre-bolton,,,,,,,,https://www.nhs.uk/services/gp-surgery/heaton-medical-centre/P82031
Spring House Surgery,P82014,BL1 6AF,"555 Chorley Old Road, Greater Manchester, Bolton, Lancashire",53.5884,-2.46354,01204848411,http://www.springhousesurgery.nhs.uk,True,False,,,,0,Bolton central supplemental search,1,,,,,,,4.1,10,Just Visits exact listing match,https://justvisits.co.uk/listing/spring-house-surgery-bolton,,,,,,,,https://www.nhs.uk/services/gp-surgery/spring-house-surgery/P82014
Cornerstone Surgery,P82627,BL1 6AH,"469 Chorley Old Road, Bolton, Lancashire",53.5887,-2.45916,01204325125,http://www.cornerstonesurgery.nhs.uk,True,False,,,,0,Bolton central supplemental search,1,,,,,,,4.0,41,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Cornerstone+Surgery/@53.5887317,-2.4592235,17z/data=!4m8!3m7!1s0x487ba70cbea55b27:0x9e197e7fec4dca25!8m2!3d53.5887317!4d-2.4592235!9m1!1b1!16s%2Fg%2F1tfbh8h1?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Cornerstone Surgery,1.0,10,google-review-texts/P82627-cornerstone-surgery.txt,,,,https://www.nhs.uk/services/gp-surgery/cornerstone-surgery/P82627
Mandalay Medical Centre,P82023,BL1 7LR,"933 Blackburn Road, Sharples, Bolton, Lancashire",53.6106,-2.4321,01204309206,https://www.mandalaymedicalcentre.nhs.uk/,True,False,,,,0,Bolton central supplemental search,1,,,,,,,3.9,10,Just Visits exact listing match,https://justvisits.co.uk/listing/mandalay-medical-centre-bolton,,,,,,,,https://www.nhs.uk/services/gp-surgery/mandalay-medical-centre/P82023
Drs Karim & James-Authe,P82634001,BL1 8BZ,"575-577 Halliwell Road, Bolton, Lancashire",53.596,-2.45072,01204841154,http://www.drkarimandjames-authe.nhs.uk/,True,False,,,,0,Bolton central supplemental search,1,,,,,,,2.5,19,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/D+R+S+Karim+%26+James-authe/@53.5821237,-2.4710066,15z/data=!4m12!1m2!2m1!1sDrs+Karim+%26+James-Authe+BL1+8BZ!3m8!1s0x487ba70a0672cd73:0x9b4e258f4237e346!8m2!3d53.5821237!4d-2.4519522!9m1!1b1!15sCh9EcnMgS2FyaW0gJiBKYW1lcy1BdXRoZSBCTDEgOEJakgEGZG9jdG9y4AEA!16s%2Fg%2F11cs5p7gzw?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",D R S Karim & James-authe,0.5,10,google-review-texts/P82634001-drs-karim-and-james-authe.txt,,,,https://www.nhs.uk/services/gp-surgery/drs-karim-and-james-authe/P82634001
Bolton Community Practice,Y03079,BL1 8TT,"Waters Meeting Health Centre, Waters Meeting Road, Bolton, Lancashire",53.5963,-2.43067,01204284822,https://www.boltoncommunitypractice.nhs.uk/,True,False,,,,0,Bolton central supplemental search,1,,,,,,,2.0,4,Just Visits exact listing match,https://justvisits.co.uk/listing/bolton-community-practice-bolton,,,,,,,,https://www.nhs.uk/services/gp-surgery/bolton-community-practice/Y03079
Burnside Surgery,P82025,BL1 8TT,"Waters Meeting Road, Bolton, Lancashire",53.5904,-2.42776,01204462930,http://www.ehealthservice.co.uk/bolton/burnside/,True,False,,,,0,Bolton central supplemental search,1,,ehealthservice.co.uk,nhs_website_domain_shared,medium,ehealthservice.co.uk,2,1.8,9,Just Visits exact listing match,https://justvisits.co.uk/listing/burnside-surgery-bolton,,,,,,,,https://www.nhs.uk/services/gp-surgery/burnside-surgery/P82025
